stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code
Bohumin,134761,560196,49.90073,18.359444,,
Bohumin(Gr),,103649,49.916576,18.322226,1,
Bohumin(Gr),103649,148865,49.916576,18.322226,,
Bohusovice nad Ohri,,277297,50.491306,14.149456,1,
Bohusovice nad Ohri,277297,598338,50.491306,14.149456,,
Boleslawiec,,296821,51.266155,15.568923,1,
Boleslawiec,296821,51339,51.266155,15.568923,,
Bondorf,,592637,48.52327,8.827879,1,
Bondorf(b Herrenberg),592637,218325,48.523552,8.827662,,
Bonn Beuel Bf,,539455,50.738464,7.127638,1,
Bonn Hbf,,261536,50.732006,7.097131,1,
Bonn Hbf,261536,40488,50.73332,7.095235,,
Bonn-Beuel,539455,424472,50.738476,7.127657,,
Brandenburg Hbf,409864,108586,52.400276,12.565075,,2
Brandenburg Hbf,409864,475687,52.40021,12.565134,,3
Brandenburg Hbf,409864,659681,52.40043,12.565258,,1
"Brandenburg, Hauptbahnhof",,409864,52.400795,12.566036,1,
Bratislava hl.st.,,432149,48.15891,17.106466,1,
Bratislava hl.st.,432149,93381,48.15891,17.106466,,
Braunschweig Hbf,243103,561719,52.252216,10.540295,,
"Braunschweig, Hauptbahnhof",,243103,52.252644,10.539547,1,
Breclav,,7985,48.7539,16.893236,1,
Breclav,7985,28629,48.7539,16.893236,,
Breclav(Gr),,165946,48.71265,16.86837,1,
Breclav(Gr),165946,502333,48.71265,16.86837,,
Bregenz,,24748,47.503002,9.739627,1,
Bregenz,24748,221209,47.503002,9.739627,,
Bregenz Riedenburg,,160910,47.49291,9.721313,1,
Bregenz Riedenburg,160910,685499,47.49291,9.721313,,
Bremen Hbf,,23579,53.083256,8.813857,1,
Bremen Hbf,23579,119209,53.082947,8.813447,,
Bremen Hbf,23579,451524,53.083073,8.813611,,
Bremen Hbf,23579,493683,53.082993,8.813512,,
Bremen Hbf,23579,532737,53.08342,8.814067,,
Bremen Hbf,23579,540614,53.0835,8.81418,,
Bremen Hbf,23579,60949,53.083355,8.813982,,
Bremen Hbf,23579,632117,53.083565,8.81426,,
Bremen Hbf,23579,77086,53.083275,8.813879,,
Brig,,287805,46.319424,7.988095,1,
Brig,287805,88320,46.319424,7.988095,,
Brno hl.n.,,194846,49.19054,16.612774,1,
Brno hl.n.,194846,198489,49.19054,16.612774,,
Bruchsal,,166047,49.124924,8.590347,1,
Bruchsal,166047,252650,49.124622,8.589649,,
Bruck/Mur,,6969,47.41388,15.279491,1,
Bruck/Mur,6969,551884,47.41388,15.279491,,
Brugg AG,,616408,47.48086,8.208845,1,
Brugg AG,616408,119284,47.48086,8.208845,,
Bruxelles Midi,,248756,50.835377,4.335694,1,
Bruxelles Midi,248756,272239,50.835377,4.335694,,
Bruxelles-Nord,,385253,50.860237,4.361454,1,
Bruxelles-Nord,385253,543240,50.860237,4.361454,,
Brzeg,,460563,50.85297,17.471178,1,
Brzeg,460563,394050,50.85297,17.471178,,
Brzeg Dolny,,674704,51.266193,16.726768,1,
Brzeg Dolny,674704,73952,51.266193,16.726768,,
Brzesko Okocim,,482262,49.986397,20.6103,1,
Brzesko Okocim,482262,268931,49.986397,20.6103,,
Buchloe,,369744,48.033722,10.716219,1,
Buchloe,369744,676913,48.033722,10.716217,,
Budapest-Kelenföld,,290016,47.464355,19.020456,1,
Budapest-Kelenföld,290016,295765,47.464355,19.020456,,
Budapest-Keleti,,176244,47.50038,19.085072,1,
Budapest-Keleti,176244,223490,47.50038,19.085072,,
Budapest-Nyugati,,143704,47.510708,19.057467,1,
Budapest-Nyugati,143704,256003,47.510708,19.057467,,
Bydgoszcz Glowna,,621749,53.135113,17.991636,1,
Bydgoszcz Glowna,621749,505070,53.135113,17.991636,,
Böblingen,,441565,48.687847,9.004533,1,
Böblingen,441565,497895,48.68776,9.004128,,
Büchen,516810,81944,53.47497,10.623298,,
"Büchen, Büchen",,516810,53.47663,10.620934,1,
Bünde(Westf),587487,602249,52.202076,8.573876,,
"Bünde, Bahnhof / ZOB",,587487,52.20198,8.574518,1,
Bützow,155245,496047,53.837112,11.998194,,
Bützow Bahnhof,,155245,53.837006,11.997513,1,
Celje,,618766,46.228558,15.26798,1,
Celje,618766,383314,46.228558,15.26798,,
Celle,465478,584752,52.620457,10.062468,,
Celle,465478,601946,52.620457,10.062468,,5
Celle,465478,68817,52.6204,10.06231,,6
Celle Bahnhof,,465478,52.62053,10.063212,1,
Ceska Trebova,,549124,49.897324,16.446808,1,
Ceska Trebova,549124,644525,49.897324,16.446808,,
Chalupki,,143842,49.925476,18.311562,1,
Chalupki,143842,526648,49.925476,18.311562,,
"Charlottenburg Bahnhof Stuttgarter Pl., Berlin",434408,623085,52.504173,13.301819,,3
Chelm,,475956,51.141197,23.494036,1,
Chelm,475956,103473,51.141197,23.494036,,
Chelm Miasto,,369555,51.138405,23.459185,1,
Chelm Miasto,369555,208505,51.138405,23.459185,,
Chemnitz Hbf,246091,529472,50.839695,12.930877,,
"Chemnitz, Hauptbahnhof",,246091,50.83963,12.930692,1,
Chiasso,,356522,45.83217,9.03145,1,
Chiasso,356522,572512,45.83217,9.03145,,
Chojna,,441602,52.963406,14.443931,1,
Chojna,441602,36919,52.963406,14.443931,,
Chojnow,,198283,51.277657,15.937051,1,
Chojnow,198283,280651,51.277657,15.937051,,
Choszczno,,558484,53.16528,15.403792,1,
Choszczno,558484,245676,53.16528,15.403792,,
Chur,,68119,46.853085,9.528938,1,
Chur,68119,537063,46.853085,9.528938,,
Coburg,,630799,50.262924,10.957326,1,
Coburg,630799,543536,50.262928,10.957328,,
Como S. Giovanni,,664209,45.80897,9.072714,1,
Como S. Giovanni,664209,681100,45.80897,9.072714,,
Crailsheim,644929,431067,49.13787,10.064326,,
Crailsheim Bahnhof,,644929,49.137913,10.06432,1,
D-Flughafen Bf,,374781,51.29158,6.787041,1,
Dabrowa Gornicza,,314954,50.330173,19.185452,1,
Dabrowa Gornicza,314954,134069,50.330173,19.185452,,
Darmstadt Hauptbahnhof,,526183,49.87194,8.631148,1,
Darmstadt Hbf,526183,477488,49.8725,8.629636,,
Debica,,538298,50.054417,21.405565,1,
Debica,538298,315592,50.054417,21.405565,,
Deblin,,628853,51.577408,21.834736,1,
Deblin,628853,262592,51.577408,21.834736,,
Decin hl.n.,,336482,50.773376,14.20096,1,
Decin hl.n.,336482,541646,50.773415,14.201247,,
Delmenhorst,,191082,53.05278,8.629879,1,
Delmenhorst,191082,28730,53.05279,8.629758,,
Dessau Hbf,,144108,51.839867,12.234945,1,
Dessau Hbf,144108,105030,51.839867,12.234945,,
Deventer,,326376,52.257435,6.160506,1,
Deventer,326376,535681,52.257435,6.160506,,
Diepholz,,76613,52.6046,8.380249,1,
Diepholz,76613,15144,52.604637,8.38013,,
Diepholz,76613,257451,52.6046,8.380267,,
Dobiegniew,,340125,52.968422,15.746908,1,
Dobiegniew,340125,251280,52.968422,15.746908,,
Dobova,,378642,45.89839,15.655178,1,
Dobova,378642,584113,45.89839,15.655178,,
Dobova(Gr),,429858,45.890633,15.680238,1,
Dobova(Gr),429858,409314,45.890633,15.680238,,
Donaueschingen,681907,504815,47.9479,8.498788,,
Donaueschingen Bahnhof,,681907,47.947872,8.499141,1,
Donauwörth,,132136,48.714024,10.771447,1,
Donauwörth,132136,238824,48.714027,10.771443,,
Dorfgastein,,378830,47.238487,13.103074,1,
Dorfgastein,378830,561628,47.238487,13.103074,,
Dornbirn,,250935,47.41769,9.738808,1,
Dornbirn,250935,497255,47.41769,9.738808,,
Dortmund Hbf,,337238,51.517197,7.459475,1,
Dortmund Hbf,337238,133638,51.517895,7.45929,,
Dortmund Hörde Bf,,282726,51.488186,7.499918,1,
Dortmund-Hörde,282726,264597,51.48778,7.500029,,
Dresden Bahnhof Neustadt,,164381,51.065426,13.740882,1,
Dresden Hauptbahnhof,,134852,51.03993,13.732932,1,
Dresden Hbf,134852,569174,51.04056,13.732035,,
Dresden-Neustadt,164381,604936,51.0659,13.740701,,
Duisburg Hbf,,145052,51.430454,6.774528,1,
Duisburg Hbf,145052,499439,51.429787,6.775903,,
Düsseldorf Flughafen,374781,602916,51.292007,6.786836,,
Düsseldorf Hbf,,180034,51.220253,6.792997,1,
Düsseldorf Hbf,180034,481211,51.219963,6.794319,,
Eberswalde Hbf,499631,232934,52.833755,13.797157,,1
Eberswalde Hbf,499631,346218,52.833805,13.796755,,4
Eberswalde Hbf,499631,528324,52.83376,13.796866,,3
"Eberswalde, Hauptbahnhof",,499631,52.833683,13.79695,1,
Eindhoven Centraal,,12516,51.44302,5.479576,1,
Eindhoven Centraal,12516,450455,51.44302,5.479576,,
Eisenach Hbf,,489569,50.976894,10.331974,1,
Eisenach Hbf,489569,71721,50.97692,10.331986,,
Ellwangen,171142,396570,48.964123,10.129681,,
"Ellwangen, Bahnhof",,171142,48.964535,10.129762,1,
Elsterwerda,184645,450171,51.45942,13.516226,,3
Elsterwerda,184645,678692,51.459404,13.516305,,2
"Elsterwerda, Bahnhof",,184645,51.459805,13.516412,1,
Emden Außenhafen,575551,556084,53.344467,7.186179,,
Emden Hbf,296443,681532,53.369038,7.195176,,
Emden(Ostfriesl) Außenhafen,,575551,53.343895,7.186002,1,
Emden(Ostfriesl) Hbf,,296443,53.36925,7.195502,1,
Emmerich,209243,216007,51.834175,6.25648,,
Emmerich Bahnhof,,209243,51.8338,6.254951,1,
Emmerich(Gr),,465949,51.901196,6.137652,1,
Emmerich(Gr),465949,208511,51.901196,6.137652,,
Engen,1289,322111,47.856346,8.772786,,
Engen Bahnhof,,1289,47.856163,8.772669,1,
"Erfurt, Hauptbahnhof",,636961,50.972057,11.037305,1,
Ergenzingen,292042,110206,48.489532,8.809857,,
Ergenzingen Bahnhof,,292042,48.489594,8.809949,1,
Erkelenz,,239319,51.076595,6.321634,1,
Erkelenz,239319,22672,51.076595,6.321634,,
Erlangen,,186566,49.595825,11.00164,1,
Erlangen,186566,651825,49.59583,11.001638,,
Essen Hbf,,454461,51.449734,7.012213,1,
Essen Hbf,454461,204717,51.451355,7.014793,,
Esslingen (N),,267485,48.73854,9.300582,1,
Esslingen(Neckar),267485,243570,48.738544,9.300522,,
Eutingen im Gäu,532788,399383,48.479954,8.782236,,
Eutingen im Gäu Bahnhof,,532788,48.47976,8.78237,1,
Feldkirch,,268764,47.24098,9.604102,1,
Feldkirch,268764,644056,47.24098,9.604102,,
Fieberbrunn,,330735,47.49114,12.528944,1,
Fieberbrunn,330735,288112,47.49114,12.528944,,
Fischen,,58364,47.456596,10.271723,1,
Fischen,58364,366592,47.456593,10.271717,,
Flensburg,,241513,54.77409,9.436726,1,
Flensburg,241513,458392,54.773857,9.436511,,
Flensburg,241513,485313,54.77395,9.436603,,
Flensburg [Grenze],,510454,54.814842,9.36324,1,
Flensburg(Gr),510454,50195,54.814842,9.36324,,
"Flensburg, Flensburg",241513,354492,54.774227,9.436848,,
Flughafen BER,,654207,52.364605,13.509874,1,
Flughafen BER,654207,60903,52.364063,13.509307,,1
Flughafen Köln/Bonn Bf,,259269,50.878902,7.119292,1,
Flughafen Wien,,656621,48.120823,16.562828,1,
Flughafen Wien,656621,88561,48.120823,16.562828,,
Forbach(F),,429690,49.189217,6.900258,1,
Forbach(F),429690,306078,49.189217,6.900258,,
Forbach(fr),,56738,49.21409,6.944314,1,
Forbach(fr),56738,619840,49.21409,6.944314,,
Frankfurt (Main) Flughafen Fernbahnhof,,238474,50.053055,8.570224,1,
Frankfurt (Main) Flughafen Regionalbahnhof,,32639,50.051205,8.571427,1,
Frankfurt (Main) Hauptbahnhof,,498913,50.106815,8.662661,1,
Frankfurt (Main) Südbahnhof,,24552,50.09933,8.686446,1,
Frankfurt (Main) Westbahnhof,,46763,50.119164,8.639821,1,
"Frankfurt (Oder), Bahnhof",,391387,52.336708,14.547147,1,
Frankfurt(M) Flughafen Fernbf,238474,153365,50.053165,8.570185,,
Frankfurt(M) Flughafen Regionalbf,32639,558727,50.05122,8.571251,,
Frankfurt(Main)Hbf,498913,63090,50.10668,8.662828,,
Frankfurt(Main)Süd,24552,523601,50.099365,8.686457,,
Frankfurt(Main)West,46763,234022,50.1193,8.639395,,
Frankfurt(Oder),391387,141716,52.336517,14.545882,,12
Frankfurt(Oder),391387,238793,52.336643,14.54624,,9
Frankfurt(Oder),391387,427810,52.336605,14.546146,,10
Frankfurt(Oder),391387,590429,52.336563,14.545988,,11
Frankfurt(Oder)(Gr),,270407,52.321175,14.576403,1,
Frankfurt(Oder)(Gr),270407,393129,52.321175,14.576403,,
Fredericia st,,536376,55.56809,9.738813,1,
Fredericia st,536376,577011,55.56809,9.738813,,
Freiberg(Sachs),342845,248909,50.908726,13.344141,,
"Freiberg, Bahnhof",,342845,50.90936,13.342219,1,
Freiburg Hauptbahnhof,,318316,47.99746,7.840954,1,
"Freiburg, Hauptbahnhof",318316,118823,47.996666,7.840092,,
Freilassing,,293723,47.836914,12.977197,1,
Freilassing,293723,536507,47.836918,12.977193,,
Frick,,334740,47.507347,8.013092,1,
Frick,334740,511537,47.507347,8.013092,,
Friedberg (Hessen) Bahnhof,,367538,50.33275,8.76125,1,
Friedberg(Hess),367538,12913,50.332607,8.762056,,
Friedrichsh. Stadtbahnhof,,505172,47.653057,9.473426,1,
Friedrichshafen Stadt,505172,295502,47.653225,9.4739,,
Fulda,513709,633409,50.554905,9.684169,,
Fulda Bahnhof,,513709,50.554924,9.683767,1,
"GD, Bahnhof",,113461,48.800285,9.787118,1,
Garmisch-Partenkirchen,,605194,47.491455,11.097014,1,
Garmisch-Partenkirchen,605194,646064,47.49145,11.097013,,
Gdansk Glowny,,399261,54.35552,18.643803,1,
Gdansk Glowny,399261,334363,54.35552,18.643803,,
Gdansk Oliwa,,494182,54.409893,18.571741,1,
Gdansk Oliwa,494182,531398,54.409893,18.571741,,
Gdansk Wrzeszcz,,53979,54.38186,18.605434,1,
Gdansk Wrzeszcz,53979,28891,54.38186,18.605434,,
Gdynia Glowna,,253195,54.52084,18.529556,1,
Gdynia Glowna,253195,49881,54.52084,18.529556,,
Geilenkirchen,,295334,50.96104,6.124518,1,
Geilenkirchen,295334,464228,50.96104,6.124518,,
Gelsenkirchen Hbf,,230634,51.504925,7.102206,1,
Gelsenkirchen Hbf,230634,128559,51.5049,7.102455,,
Gera Hbf,339468,476638,50.883423,12.077092,,
Gera Hbf (SEV),,339468,50.883102,12.078252,1,
"Gesundbrunnen Bahnhof Badstr., Berlin",80439,484999,52.548573,13.390519,,8
Gießen,416991,42619,50.57906,8.661462,,
Gießen Bahnhof,,416991,50.579887,8.663804,1,
Gliwice,,580522,50.301105,18.677158,1,
Gliwice,580522,551863,50.301105,18.677158,,
Glogow,,460272,51.668957,16.079712,1,
Glogow,460272,448620,51.668957,16.079712,,
Gniezno,,223374,52.52965,17.602184,1,
Gniezno,223374,325508,52.52965,17.602184,,
Goleniow,,131037,53.559483,14.839893,1,
Goleniow,131037,204982,53.559483,14.839893,,
Golling-Abtenau,,321394,47.60081,13.164054,1,
Golling-Abtenau,321394,493350,47.60081,13.164054,,
Gotha,,225350,50.93905,10.712328,1,
Gotha,225350,315921,50.93907,10.712568,,
Graz Hbf,,637749,47.0724,15.416519,1,
Graz Hbf,637749,633310,47.0724,15.416519,,
Greifswald,,435367,54.092926,13.370264,1,
Greifswald,435367,23422,54.092926,13.370264,,
Gryfino,,619235,53.254215,14.49302,1,
Gryfino,619235,343374,53.254215,14.49302,,
Györ,,292973,47.68198,17.63479,1,
